bus_id,trip_id,trip_type,shift_time,trip_start_time,trip_end_time,scheduled_trip_minutes,scheduled_deadhead_minutes,mission_passengers,original_stop_count,matched_stop_count,unmatched_stop_count,routeable_trip,fully_matched_trip,routed_store_sequence,route_distance_km,estimated_route_minutes,start_min,end_min
6,100,OUTBOUND,03:00 AM,03:00 AM,03:26 AM,26.0,14.0,14.0,5,5,0,True,True,Hardees - Sabah Al Salem Block -> Krispy Kreme - Sabah Al Salem -> KFC - S Al Salem -> KFC - Sabah Al Salem 2 -> Hardees - Al Qureen,6.207,10.64,180,206
10,101,OUTBOUND,03:00 AM,03:00 AM,03:23 AM,23.0,14.0,18.0,5,5,0,True,True,Hardees - Sabah Al Salem -> Hardees - Adan -> KFC - Adan -> KFC - Qureen -> Tikka - Qurain,7.11,12.19,180,203
11,102,OUTBOUND,03:00 AM,03:00 AM,03:19 AM,19.0,9.0,13.0,5,5,0,True,True,Hardees - Qurain Markets -> Krispy Kreme - Aswaq Al Qurain -> Hardees - Al Qureen 2 -> KFC Mubarek El-Kaber(Qurain 2) -> Hardees - Augiela 2,7.206,12.35,180,199
12,103,OUTBOUND,03:00 AM,03:00 AM,03:20 AM,21.0,9.0,15.0,5,5,0,True,True,Hardees - Al Ahmadi -> KFC - Al Ahmadi -> Hardees - Al Mangaf -> Krispy Kreme Mangaf Sultan Centr -> KFC - Mangaf 2,7.583,13.0,180,200
13,104,OUTBOUND,03:00 AM,03:00 AM,03:18 AM,19.0,8.0,13.0,5,5,0,True,True,KFC - Fahaheel -> KFC - Al Mangaf -> Hardees - Al Fintas -> KFC - Al Mahboola -> Krispy Kreme Alyia Ghalyia Tower,9.311,15.96,180,198
5,105,OUTBOUND,03:00 AM,03:03 AM,03:17 AM,14.0,6.0,12.0,4,4,0,True,True,KFC - Al Zahr -> Hardees - Al Zahr -> KFC - Augiela 2 -> Wimpy - Abu Halifa,6.626,11.36,183,197
2,106,OUTBOUND,03:00 AM,03:00 AM,03:01 AM,2.0,2.0,1.0,1,1,0,True,True,KFC - Fahd Al Ahmad,0.0,0.0,180,181
2,107,OUTBOUND,03:30 AM,03:53 AM,04:36 AM,44.0,42.0,11.0,2,2,0,True,True,Hardees - Sabah Al Ahmed -> KFC - Sabah Al Ahmad 2,0.022,0.04,233,276
3,108,OUTBOUND,03:30 AM,03:37 AM,03:58 AM,21.0,14.0,7.0,4,4,0,True,True,Hardees - Sabah Al Salem -> KFC - S Al Salem -> Tikka - Qurain -> Hardees - Al Qureen 2,6.724,11.53,217,238
5,109,OUTBOUND,03:30 AM,03:33 AM,03:48 AM,15.0,6.0,6.0,4,4,0,True,True,Hardees - Al Mangaf -> Hardees - Al Sbahiya -> KFC - Al Mahboola -> Wimpy - Abu Halifa,7.828,13.42,213,228
13,110,OUTBOUND,03:30 AM,03:32 AM,03:41 AM,9.0,4.0,4.0,3,3,0,True,True,BR - The Gate Mall -> KFC - Augiela 2 -> Krispy Kreme - Gate Mall,0.893,1.53,212,221
1,111,OUTBOUND,04:30 AM,04:30 AM,04:55 AM,26.0,22.0,3.0,3,3,0,True,True,KFC - Om El Himan -> Hardees - Al Fahaheel -> Hardees - Al Mangaf,15.405,26.41,270,295
3,112,OUTBOUND,04:30 AM,04:30 AM,04:55 AM,26.0,13.0,14.0,5,5,0,True,True,KFC - Sabah Al Salem 2 -> Hardees - Adan -> KFC - Adan -> KFC - Aswaq Al Qurain -> BR - Qurain 1,9.475,16.24,270,295
4,113,OUTBOUND,04:30 AM,04:30 AM,04:48 AM,18.0,4.0,18.0,5,5,0,True,True,KFC - Loft Fintas -> KFC - Fahd Al Ahmad -> Hardees - Fahd El Ahmed -> Hardees - Al Fintas -> Wimpy - Abu Halifa,8.909,15.27,270,288
5,114,OUTBOUND,04:30 AM,04:30 AM,04:38 AM,8.0,2.0,5.0,3,3,0,True,True,BR - Reqa -> BR - Fahd El Ahmed -> KFC - Alreqa,2.408,4.13,270,278
6,115,OUTBOUND,05:00 AM,05:00 AM,05:43 AM,44.0,42.0,10.0,2,2,0,True,True,Hardees - Sabah Al Ahmed -> KFC - Sabah Al Ahmad 2,0.022,0.04,300,343
7,116,OUTBOUND,05:00 AM,05:00 AM,05:27 AM,28.0,22.0,10.0,4,4,0,True,True,KFC - Om El Himan -> BR - Om El Haiman -> Hardees - Om El Himan -> BR - Fahaheel,13.066,22.4,300,327
8,117,OUTBOUND,05:00 AM,05:00 AM,05:26 AM,26.0,14.0,20.0,5,5,0,True,True,Hardees - Sabah Al Salem Block -> BR - Sabah Al Salem Block 1 -> KFC - S Al Salem -> KFC - Sabah Al Salem 2 -> Hardees - Al Qureen,6.213,10.65,300,326
9,118,OUTBOUND,05:00 AM,05:00 AM,05:23 AM,24.0,14.0,12.0,5,5,0,True,True,Hardees - Sabah Al Salem -> BR - Qurain 3 -> Hardees - Adan -> KFC - Qureen -> BR - Qurain 1,7.647,13.11,300,323
